Hours;mg/L
1;0.016
9;0.016
17;0.016
25;0.016
33;0.030
41;0.037
49;0.104
57;0.183
65;0.294
73;0.308
100;0.408
108;0.638
116;0.668
124;0.679
132;0.704
140;0.760
148;0.769
156;0.818
164;0.856
172;0.872
180;0.943
188;0.956
196;0.957
204;0.973
212;0.924
220;0.947
228;0.966
236;0.995
244;1.068
252;1.074
260;1.022
268;0.994
276;1.027
284;1.043
292;1.052
300;1.039
308;1.045
316;1.043
324;1.027
332;1.039
340;1.019
348;1.013
356;1.146
364;1.163
372;1.102
380;1.098
388;1.097
396;1.092
404;1.066
412;1.060
420;1.085
428;1.120
436;1.104
444;1.125
452;1.124
460;1.134
468;1.109
476;1.139
484;1.110
492;1.114
500;1.152
508;1.144
516;1.109
524;1.127
532;1.112
540;1.144
548;1.120
556;1.147
564;1.109
572;1.066
580;1.194
588;1.188
596;1.183
604;1.166
612;1.160
620;1.189
628;1.183
636;1.178
644;1.142
652;1.125
660;1.127
668;1.130
676;1.151
684;1.176
692;1.102
700;1.106
708;1.081
716;1.046
724;1.076
732;1.058
740;1.028
748;1.083
756;1.081
764;1.101
772;1.115
780;1.076
788;1.081
796;1.108
804;1.108
812;1.148
820;1.137
828;1.103
836;1.158
844;1.170
852;1.069
860;1.064
868;1.028
876;1.084
884;1.170
892;1.178
900;1.154
908;1.199
916;1.170
924;1.137
932;1.130
940;
948;
956;
964;
