hours;mg/L
1;0.016062176
9;0.016062176
17;0.016062176
25;0.016062176
33;0.03
41;0.036943005
49;0.104404145
57;0.183108808
65;0.293937824
73;0.308393782
100;0.407979275
108;0.637668394
116;0.668186528
124;0.679430052
132;0.703523316
140;0.759740933
148;0.769378238
156;0.817564767
164;0.85611399
172;0.872176166
180;0.942849741
188;0.955699482
196;0.957305699
204;0.973367876
212;0.92395122
220;0.946634146
228;0.966292683
236;0.99502439
244;1.067609756
252;1.073658537
260;1.022243902
268;0.993512195
276;1.026780488
284;1.043414634
292;1.052487805
300;1.038878049
308;1.044926829
316;1.043414634
324;1.026780488
332;1.038878049
340;1.019219512
348;1.013170732
356;1.145652174
364;1.1625
372;1.101847826
380;1.098478261
388;1.096793478
396;1.09173913
404;1.066467391
412;1.059728261
420;1.085
428;1.120380435
436;1.103532609
444;1.125434783
452;1.12375
460;1.133858696
468;1.108586957
476;1.138913043
484;1.110271739
492;1.113641304
500;1.152391304
508;1.143967391
516;1.108586957
524;1.127119565
532;1.111956522
540;1.143967391
548;1.120380435
556;1.147336957
564;1.108586957
572;1.066137566
580;1.194074074
588;1.187513228
596;1.182592593
604;1.166190476
612;1.15962963
620;1.189153439
628;1.182592593
636;1.177671958
644;1.141587302
652;1.125185185
660;1.126825397
668;1.13010582
676;1.151428571
684;1.176031746
692;1.102222222
700;1.105502646
708;1.080899471
716;1.046455026
724;1.075978836
732;1.057936508
740;1.028412698
748;1.082539683
756;1.080899471
764;1.101270718
772;1.114972376
780;1.07558011
788;1.080718232
796;1.108121547
804;1.108121547
812;1.147513812
820;1.137237569
828;1.102983425
836;1.157790055
844;1.169779006
852;1.068729282
860;1.06359116
868;1.027624309
876;1.084143646
884;1.169779006
892;1.178342541
900;1.154364641
908;1.198895028
916;1.169779006
924;1.137237569
932;1.13038674
945;1.060609137
953;1.077918782
961;1.126700508
969;0.964619289
977;0.961472081
985;1.052741117
993;1.08106599
1001;1.18177665
1009;1.177055838
1017;1.129847716
1025;1.129847716
1033;1.221116751
1041;1.132994924
1049;0.819396985
1057;0.852110553
1065;0.97361809
1073;1.026582915
1081;1.01879397
1089;1.023467337
1097;1.001658291
1105;1.007889447
1113;0.987638191
1121;1.067085427
1129;1.074874372
1137;1.017236181
1145;0.992311558
1153;1.063969849
1159;1.054623116
1167;1.068643216
1175;1.00321608
1183;1.087336683
1191;1.099798995
1199;1.152564103
1207;1.146205128
1215;0.869589744
1223;0.941128205
1231;0.780564103
1239;0.763076923
1247;0.933179487
1255;1.030153846
1271;1.084205128
1279;1.233473684
1287;1.192684211
1295;1.184526316
1303;1.197578947
1311;1.032789474
1319;1.150263158
1327;1.019736842
1431;1.063789474
1439;1.168210526
1447;1.202473684
1455;1.207368421
1463;1.213894737
1471;1.212263158
1479;1.179631579
1487;1.174736842
1495;1.112736842
1503;1.101315789
1511;1.160386713
1551;1.286415469
1559;1.25875062
1567;1.2664353
1575;1.244918195
1583;1.271046108
1591;1.223401091
1599;1.151165097
1607;1.157312841
1615;0.999008428
1623;0.99439762
1631;1.054338126
1639;1.186257928
1647;1.20755814
1655;1.187896406
1663;1.243604651
