hours,mg/L
1,0.84324145
9,0.73235011
17,0.62607799
25,0.6145266
33,0.55446004
41,0.51451698
49,0.50977585
57,0.47420986
65,0.45998313
73,0.42915994
81,0.41019041
89,0.39596535
97,0.50740445
105,0.37225469
113,0.36277076
121,0.35328683
129,0.34380123
137,0.3319459
145,0.32720477
153,0.32009224
161,0.32009224
169,0.29638158
177,0.31297804
185,0.29401018
193,0.25015264
201,0.2523871
209,0.25015264
217,0.22335081
225,0.23675256
233,0.24791985
241,0.2345181
249,0.2345181
257,0.23898535
265,0.20771627
273,0.21218352
281,0.20995073
289,0.21888356
297,0.21888356
305,0.21218352
313,0.21218352
321,0.21665077
329,0.22111802
337,0.19878177
345,0.23005085
353,0.22111802
361,0.25001236
369,0.21191632
377,0.20477206
385,0.21191632
393,0.21429607
401,0.21429607
409,0.2095349
417,0.20239064
425,0.21429607
433,0.22299677
441,0.23810693
449,0.21429607
457,0.2095349
465,0.20477206
473,0.19762947
481,0.19524805
489,0.22144033
497,0.20715348
505,0.19762947
513,0.21191632
521,0.20477206
529,0.22442295
537,0.23151043
545,0.2220599
553,0.18898722
561,0.22442295
569,0.22914738
577,0.22914738
585,0.21261104
593,0.21733547
601,0.18426279
609,0.21261104
617,0.2097019
625,0.21452319
633,0.2024708
641,0.20006099
649,0.19765118
657,0.19765118
665,0.19042008
673,0.18559879
681,0.1807775
689,0.19282989
697,0.17113659
705,0.18559879
713,0.16872678
